${LS_COLORS:654:3} : =01
${LS_COLORS:655:3} : 01;
${LS_COLORS:656:3} : 1;3
${LS_COLORS:657:3} : ;31
${LS_COLORS:658:3} : 31
${LS_COLORS:659:3} : 1
${LS_COLORS:661:3} : *.t
${LS_COLORS:662:3} : .tz
${LS_COLORS:663:3} : tzo
${LS_COLORS:664:3} : zo=
${LS_COLORS:665:3} : o=0
${LS_COLORS:666:3} : =01
${LS_COLORS:667:3} : 01;
${LS_COLORS:668:3} : 1;3
${LS_COLORS:669:3} : ;31
${LS_COLORS:670:3} : 31
${LS_COLORS:671:3} : 1
${LS_COLORS:673:3} : *.t
${LS_COLORS:674:3} : .tz
${LS_COLORS:675:3} : tzs
${LS_COLORS:676:3} : zst
${LS_COLORS:677:3} : st=
${LS_COLORS:678:3} : t=0
${LS_COLORS:679:3} : =01
${LS_COLORS:680:3} : 01;
${LS_COLORS:681:3} : 1;3
${LS_COLORS:682:3} : ;31
${LS_COLORS:683:3} : 31
${LS_COLORS:684:3} : 1
${LS_COLORS:686:3} : *.u
${LS_COLORS:687:3} : .ud
${LS_COLORS:688:3} : ude
${LS_COLORS:689:3} : deb
${LS_COLORS:690:3} : eb=
${LS_COLORS:691:3} : b=0
${LS_COLORS:692:3} : =01
${LS_COLORS:693:3} : 01;
${LS_COLORS:694:3} : 1;3
${LS_COLORS:695:3} : ;31
${LS_COLORS:696:3} : 31
${LS_COLORS:697:3} : 1
${LS_COLORS:699:3} : *.w
${LS_COLORS:700:3} : .wa
${LS_COLORS:701:3} : war
${LS_COLORS:702:3} : ar=
${LS_COLORS:703:3} : r=0
${LS_COLORS:704:3} : =01
${LS_COLORS:705:3} : 01;
${LS_COLORS:706:3} : 1;3
${LS_COLORS:707:3} : ;31
${LS_COLORS:708:3} : 31
${LS_COLORS:709:3} : 1
${LS_COLORS:711:3} : *.w
${LS_COLORS:712:3} : .wh
${LS_COLORS:713:3} : whl
${LS_COLORS:714:3} : hl=
${LS_COLORS:715:3} : l=0
${LS_COLORS:716:3} : =01
${LS_COLORS:717:3} : 01;
${LS_COLORS:718:3} : 1;3
${LS_COLORS:719:3} : ;31
${LS_COLORS:720:3} : 31
${LS_COLORS:721:3} : 1
${LS_COLORS:723:3} : *.w
${LS_COLORS:724:3} : .wi
${LS_COLORS:725:3} : wim
${LS_COLORS:726:3} : im=
${LS_COLORS:727:3} : m=0
${LS_COLORS:728:3} : =01
${LS_COLORS:729:3} : 01;
${LS_COLORS:730:3} : 1;3
${LS_COLORS:731:3} : ;31
${LS_COLORS:732:3} : 31
${LS_COLORS:733:3} : 1
${LS_COLORS:735:3} : *.x
${LS_COLORS:736:3} : .xz
${LS_COLORS:737:3} : xz=
${LS_COLORS:738:3} : z=0
${LS_COLORS:739:3} : =01
${LS_COLORS:740:3} : 01;
${LS_COLORS:741:3} : 1;3
${LS_COLORS:742:3} : ;31
${LS_COLORS:743:3} : 31
${LS_COLORS:744:3} : 1
${LS_COLORS:746:3} : *.z
${LS_COLORS:747:3} : .z=
${LS_COLORS:748:3} : z=0
${LS_COLORS:749:3} : =01
${LS_COLORS:750:3} : 01;
${LS_COLORS:751:3} : 1;3
${LS_COLORS:752:3} : ;31
${LS_COLORS:753:3} : 31
${LS_COLORS:754:3} : 1
${LS_COLORS:756:3} : *.z
${LS_COLORS:757:3} : .zi
${LS_COLORS:758:3} : zip
${LS_COLORS:759:3} : ip=
${LS_COLORS:760:3} : p=0
${LS_COLORS:761:3} : =01
${LS_COLORS:762:3} : 01;
${LS_COLORS:763:3} : 1;3
${LS_COLORS:764:3} : ;31
${LS_COLORS:765:3} : 31
${LS_COLORS:766:3} : 1
${LS_COLORS:768:3} : *.z
${LS_COLORS:769:3} : .zo
${LS_COLORS:770:3} : zoo
${LS_COLORS:771:3} : oo=
${LS_COLORS:772:3} : o=0
${LS_COLORS:773:3} : =01
${LS_COLORS:774:3} : 01;
${LS_COLORS:775:3} : 1;3
${LS_COLORS:776:3} : ;31
${LS_COLORS:777:3} : 31
${LS_COLORS:778:3} : 1
${LS_COLORS:780:3} : *.z
${LS_COLORS:781:3} : .zs
${LS_COLORS:782:3} : zst
${LS_COLORS:783:3} : st=
${LS_COLORS:784:3} : t=0
${LS_COLORS:785:3} : =01
${LS_COLORS:786:3} : 01;
${LS_COLORS:787:3} : 1;3
${LS_COLORS:788:3} : ;31
${LS_COLORS:789:3} : 31
${LS_COLORS:790:3} : 1
${LS_COLORS:792:3} : *.a
${LS_COLORS:793:3} : .av
${LS_COLORS:794:3} : avi
${LS_COLORS:795:3} : vif
${LS_COLORS:796:3} : if=
${LS_COLORS:797:3} : f=0
${LS_COLORS:798:3} : =01
${LS_COLORS:799:3} : 01;
${LS_COLORS:800:3} : 1;3
${LS_COLORS:801:3} : ;35
${LS_COLORS:802:3} : 35
${LS_COLORS:803:3} : 5
${LS_COLORS:805:3} : *.j
${LS_COLORS:806:3} : .jp
${LS_COLORS:807:3} : jpg
${LS_COLORS:808:3} : pg=
${LS_COLORS:809:3} : g=0
${LS_COLORS:810:3} : =01
${LS_COLORS:811:3} : 01;
${LS_COLORS:812:3} : 1;3
${LS_COLORS:813:3} : ;35
${LS_COLORS:814:3} : 35
${LS_COLORS:815:3} : 5
${LS_COLORS:817:3} : *.j
${LS_COLORS:818:3} : .jp
${LS_COLORS:819:3} : jpe
${LS_COLORS:820:3} : peg
${LS_COLORS:821:3} : eg=
${LS_COLORS:822:3} : g=0
${LS_COLORS:823:3} : =01
${LS_COLORS:824:3} : 01;
${LS_COLORS:825:3} : 1;3
${LS_COLORS:826:3} : ;35
${LS_COLORS:827:3} : 35
${LS_COLORS:828:3} : 5
${LS_COLORS:830:3} : *.j
${LS_COLORS:831:3} : .jx
${LS_COLORS:832:3} : jxl
${LS_COLORS:833:3} : xl=
${LS_COLORS:834:3} : l=0
${LS_COLORS:835:3} : =01
${LS_COLORS:836:3} : 01;
${LS_COLORS:837:3} : 1;3
${LS_COLORS:838:3} : ;35
${LS_COLORS:839:3} : 35
${LS_COLORS:840:3} : 5
${LS_COLORS:842:3} : *.m
${LS_COLORS:843:3} : .mj
${LS_COLORS:844:3} : mjp
${LS_COLORS:845:3} : jpg
${LS_COLORS:846:3} : pg=
${LS_COLORS:847:3} : g=0
${LS_COLORS:848:3} : =01
${LS_COLORS:849:3} : 01;
${LS_COLORS:850:3} : 1;3
${LS_COLORS:851:3} : ;35
${LS_COLORS:852:3} : 35
${LS_COLORS:853:3} : 5
${LS_COLORS:855:3} : *.m
${LS_COLORS:856:3} : .mj
${LS_COLORS:857:3} : mjp
${LS_COLORS:858:3} : jpe
${LS_COLORS:859:3} : peg
${LS_COLORS:860:3} : eg=
${LS_COLORS:861:3} : g=0
${LS_COLORS:862:3} : =01
${LS_COLORS:863:3} : 01;
${LS_COLORS:864:3} : 1;3
